X,Y,FID,OPS_PLAN_I,INCIDENT_N,PLAN_NAME,INCIDENTNU,INCIDENTNA,REGION,DISTRICT,RESERVE,FINANCIALY,SEASON,OBJECTIVE_,TREATED_AR,AREA_DRAWN,UNBOUNDED,OPERATIONS,OPS_STATUS,PUBLIC_INF,INCIDENT_C,FIREYEAR,GLOBALID,Shape_Leng,Shape_Area
138.695710382152,-34.9021570568035,53,166,130,Ops Plan 1,130,Morialta (Woodforde Track) S20,Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Morialta (CP),2020/2021,SPRING,21.1,0,0,0, ,Operations Plan Withdrawn, , ,2020,{F8C5C0C3-1BA4-4F91-BE16-4E41E63C0E45},0.0271657362747,2.08742270824e-05
138.675610070552,-34.9694600753055,54,98,171,Ops Plan 1,171,Cleland (Gateway) S20,Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Addition to Cleland CP (Gateway Parkland) (AD),2020/2021,SPRING,11.7,0,0,0, ,Operations Plan Withdrawn, , ,2020,{1E8ACC51-3BCC-47BB-9B4E-E9CA8FACF9F0},0.0172890305859,1.15680190372e-05
138.770940737483,-34.869442226935,55,478,397,Ops Plan 1,397,Track 18,Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Kangaroo Creek,2020/2021,SPRING,14.4,0,0,0, ,Operations Plan Withdrawn, , ,2020,{168FD115-E129-49FA-878F-07BF0BB7B223},0.0195104791895,1.41848639414e-05
138.491118817516,-35.5174493436881,56,828,521,Ops Plan 2,521,Jaggers,South Australian Murray-Darling Basin,Ranges to River,Kuipto,2019/2020,AUTUMN,6.2,0,9.5,0,LWHITING,New Operations Plan, ,RDEGROOT,2020,{ECF03E52-5F8A-4694-A268-B4AE56B63ECF},0.0135245382122,9.4556682595e-06
136.891161503149,-35.2583090465419,57,992,675,Ops Plan 1,675,Inneston West,Northern & Yorke,Yorke,Innes (NP),2019/2020,AUTUMN,264,0,264.3,0,JTILLEY,Operations Plan Postponed, ,KANDERSON,2020,{A906B330-3360-4658-830F-345C5C06AF9E},0.0929384872351,0.00026227762064
138.842375006372,-34.8757814773017,58,977,406,Ops Plan 4,406,Baldy (Cudlee Creek),Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Baldy Native Forest Reserve,2019/2020,AUTUMN,38.1,0,23.8,0,BTURRINI,Operations Plan Withdrawn, ,AMOYLAN,2020,{25CEA64F-E942-4883-98AC-0C7FAEDA4B54},0.02337014379,2.35318609944e-05
138.502901908274,-35.3664833073657,59,900,628,Ops Plan 1,628,Higg's Swamp Ecological Burn (Private Land),Adelaide & Mt Lofty Ranges,Fleurieu and Willunga Basin,Private Land,2019/2020,AUTUMN,0.6,0.6,0.6,0,KABLEY,Post Burn Activities Completed,Completed,TGGROVES,2020,{C53E21C1-860B-42E6-AE93-1F93B0967878},0.00301262678508,5.58364446114e-07
138.687864399236,-34.9841438751506,60,898,626,Ops Plan 1,626,Cleland (Gateway Sollya) A20,Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Cleland (CP),2019/2020,AUTUMN,3.7,0,3.7,0, ,Operations Plan Withdrawn, , ,2020,{F9E845F1-CCAA-4C84-87ED-2735D780E1C7},0.00955339816358,3.69982978444e-06
138.708947512279,-35.0258823701367,61,884,615,Ops Plan 2,615,Heathfield Council Depot / WWTP B2,Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Council / SAW Land,2020/2021,SPRING,21.5,0,17.1,0, ,New Operations Plan, , ,2020,{5243D310-3E28-408F-9FC6-77DFE227E882},0.0256123501187,1.6934624799e-05
138.677337899031,-35.3071409837197,62,951,656,Ops Plan 1,656,Mount Magnificent (Black Fellows Creek Rd),Adelaide & Mt Lofty Ranges,Fleurieu and Willunga Basin,Mount Magnificent (CP),2019/2020,AUTUMN,40,0,27.8,0,SPARKER1,Operations Plan Postponed, ,ITANNER,2020,{A16E3EDD-FD33-49C5-84A6-09BBE6A28E15},0.0214925355951,2.75629366507e-05
